12.9,97837,0.077148,0.36419,0.81
12.57,97837,0.08953,0.36432,0.94
12.32,97836,0.10096,0.36445,1.06
12.42,97835,0.11334,0.36458,1.19
12.88,97835,0.11334,0.36471,1.19
12.98,97834,0.10096,0.36484,1.06
12.73,97833,0.08953,0.36497,0.94
12.57,97833,0.077148,0.3651,0.81
12.53,97832,0.071434,0.36523,0.75
12.53,97831,0.071434,0.36536,0.75
12.57,97831,0.077148,0.36549,0.81
12.82,97830,0.08953,0.36562,0.94
13.28,97826,0.10763,0.36576,1.13
13.25,97822,0.13144,0.36589,1.38
12.75,97817,0.11906,0.36602,1.25
12.18,97813,0.071434,0.36615,0.75
11.52,97809,0.047622,0.36628,0.5
11.52,97805,0.047622,0.36641,0.5
12.18,97801,0.083815,0.36654,0.88
12.48,97797,0.15525,0.36667,1.63
12.43,97792,0.1962,0.3668,2.06
12.32,97788,0.20859,0.36693,2.19
12.18,97784,0.22668,0.36706,2.38
11.95,97780,0.25049,0.36719,2.63
11.65,97783,0.26192,0.36732,2.75
11.6,97786,0.26192,0.36745,2.75
11.8,97789,0.25621,0.36758,2.69
12.25,97792,0.24383,0.36771,2.56
12.95,97795,0.25621,0.36784,2.69
13.63,97797,0.29145,0.36797,3.06
14.28,97800,0.33907,0.3681,3.56
14.78,97803,0.39908,0.36823,4.19
15.13,97806,0.45241,0.36836,4.75
15.43,97809,0.50004,0.36849,5.2501
15.68,97812,0.51813,0.36862,5.44
15.83,97815,0.50575,0.36875,5.31
15.88,97826,0.51813,0.36888,5.44
15.82,97837,0.55337,0.36901,5.81
15.68,97848,0.58385,0.36914,6.13
15.43,97860,0.60766,0.36927,6.38
15.07,97871,0.60099,0.3694,6.31
14.5,97882,0.56575,0.36953,5.94
13.7,97893,0.54766,0.36966,5.75
13.13,97904,0.54766,0.36979,5.75
12.78,97915,0.54766,0.36992,5.75
12.32,97926,0.54766,0.37005,5.75
11.78,97937,0.55337,0.37018,5.81
11.2,97949,0.56575,0.37031,5.94
10.6,97955,0.57718,0.37044,6.06
10.13,97962,0.58957,0.37057,6.1901
9.78,97968,0.52956,0.3707,5.56
9.32,97975,0.39908,0.37083,4.19
8.78,97981,0.35145,0.37096,3.69
8.38,97988,0.38669,0.37109,4.06
8.13,97994,0.39336,0.37122,4.13
7.78,98001,0.36955,0.37135,3.88
7.32,98008,0.36955,0.37148,3.88
7.02,98014,0.39336,0.37161,4.13
6.88,98021,0.39908,0.37174,4.19
6.72,98027,0.38669,0.37188,4.06
6.58,98030,0.38669,0.37201,4.06
6.33,98032,0.39908,0.37214,4.19
5.97,98035,0.37526,0.37227,3.94
5.67,98037,0.31526,0.3724,3.31
5.42,98040,0.28573,0.37253,3
5.2,98042,0.28573,0.37266,3
5,98045,0.26192,0.37279,2.75
4.73,98047,0.2143,0.37292,2.25
4.38,98049,0.17239,0.37305,1.81
4.13,98052,0.13715,0.37318,1.44
3.98,98054,0.11906,0.37331,1.25
3.83,98057,0.11906,0.37344,1.25
3.67,98054,0.11906,0.37357,1.25
3.7,98051,0.11906,0.3737,1.25
3.9,98048,0.12477,0.37383,1.31
4.4,98045,0.13715,0.37396,1.44
5.2,98041,0.15525,0.37409,1.63
5.9,98038,0.17906,0.37422,1.88
6.5,98035,0.1962,0.37435,2.06
7.1,98032,0.20859,0.37448,2.19
7.7,98029,0.2143,0.37461,2.25
8.28,98026,0.2143,0.37474,2.25
8.82,98023,0.20287,0.37487,2.13
9.43,98020,0.17906,0.375,1.88
10.07,98007,0.17239,0.375,1.81
10.57,97995,0.18477,0.375,1.9399
10.93,97983,0.17906,0.375,1.88
11.13,97971,0.15525,0.375,1.63
11.17,97958,0.13144,0.375,1.38
10.82,97946,0.10763,0.375,1.13
10.07,97934,0.077148,0.375,0.81
8.67,97922,0.041908,0.375,0.44
6.63,97909,0.023811,0.375,0.25
5.22,97897,0.023811,0.375,0.25
4.47,97885,0.018097,0.375,0.19001
3.97,97872,0.0057147,0.375,0.06
3.73,97855,0.0057147,0.375,0.06
3.23,97837,0.018097,0.375,0.19001
2.48,97820,0.023811,0.375,0.25
1.83,97802,0.023811,0.375,0.25
1.27,97785,0.018097,0.375,0.19001
0.88,97767,0.0057147,0.375,0.06
0.63,97750,0.0057147,0.375,0.06
0.28,97732,0.018097,0.375,0.19001
-0.18,97715,0.018097,0.375,0.19001
-0.3,97697,0.0057147,0.375,0.06
